col:taxonID	col:gazetteer	col:area
urn:lsid:nmbe.ch:spidersp:041128	text	India
urn:lsid:nmbe.ch:spidersp:008844	text	Panama
urn:lsid:nmbe.ch:spidersp:009756	text	Russia (South Siberia to Far East)
urn:lsid:nmbe.ch:spidersp:022406	text	USA
urn:lsid:nmbe.ch:spidersp:040693	text	Spain
urn:lsid:nmbe.ch:spidersp:011736	text	Russia (Europe to Far East), Iran, Kazakhstan to China
urn:lsid:nmbe.ch:spidersp:047156	text	Colombia
urn:lsid:nmbe.ch:spidersp:024478	text	Germany
urn:lsid:nmbe.ch:spidersp:010824	text	Ireland, Britain, Scandinavia, Russia (Europe to north-eastern Siberia)
urn:lsid:nmbe.ch:spidersp:012819	text	USA
urn:lsid:nmbe.ch:spidersp:026445	text	Ecuador
urn:lsid:nmbe.ch:spidersp:041981	text	Philippines
urn:lsid:nmbe.ch:spidersp:034881	text	India, Sri Lanka, China, Southeast Asia
urn:lsid:nmbe.ch:spidersp:005325	text	New Zealand
urn:lsid:nmbe.ch:spidersp:053545	text	Australia (Western Australia, Northern Territory, Queensland, South Australia)
urn:lsid:nmbe.ch:spidersp:007318	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:051578	text	Algeria
urn:lsid:nmbe.ch:spidersp:019306	text	Argentina
urn:lsid:nmbe.ch:spidersp:032056	text	Russia (Far East), China, Korea, Japan
urn:lsid:nmbe.ch:spidersp:035793	text	Afghanistan, Pakistan, India, China
urn:lsid:nmbe.ch:spidersp:037254	text	Indonesia (Sulawesi)
urn:lsid:nmbe.ch:spidersp:035269	text	North Macedonia, Bulgaria, Greece, Turkey, Caucasus, Israel, Iran
urn:lsid:nmbe.ch:spidersp:048759	text	France
urn:lsid:nmbe.ch:spidersp:000127	text	USA
urn:lsid:nmbe.ch:spidersp:051082	text	China
urn:lsid:nmbe.ch:spidersp:024182	text	Canary Is.
urn:lsid:nmbe.ch:spidersp:008517	text	Macaronesia, Mediterranean to Egypt, India, Central Asia, China, Japan. Introduced to Poland, Canada, USA, Galapagos Is., Society Is.
urn:lsid:nmbe.ch:spidersp:023647	text	USA
urn:lsid:nmbe.ch:spidersp:016509	text	North America
urn:lsid:nmbe.ch:spidersp:040369	text	South Africa
urn:lsid:nmbe.ch:spidersp:022955	text	Tajikistan
urn:lsid:nmbe.ch:spidersp:045491	text	Australia (Queensland, Norfolk Is.)
urn:lsid:nmbe.ch:spidersp:020968	text	Italy
urn:lsid:nmbe.ch:spidersp:014534	text	Brazil, Argentina
urn:lsid:nmbe.ch:spidersp:042354	text	Brazil
urn:lsid:nmbe.ch:spidersp:024028	text	Bolivia
urn:lsid:nmbe.ch:spidersp:026015	text	Guatemala
urn:lsid:nmbe.ch:spidersp:047506	text	Sudan
urn:lsid:nmbe.ch:spidersp:011366	text	USA
urn:lsid:nmbe.ch:spidersp:032406	text	Egypt
urn:lsid:nmbe.ch:spidersp:004867	text	Sri Lanka
urn:lsid:nmbe.ch:spidersp:053115	text	Iran
urn:lsid:nmbe.ch:spidersp:005775	text	Philippines
urn:lsid:nmbe.ch:spidersp:007748	text	Australia (New South Wales, Victoria)
urn:lsid:nmbe.ch:spidersp:018844	text	Russia (Kurile Is.), Japan
urn:lsid:nmbe.ch:spidersp:000577	text	South Africa
urn:lsid:nmbe.ch:spidersp:036916	text	Guatemala
urn:lsid:nmbe.ch:spidersp:028908	text	India, Myanmar, Malaysia
urn:lsid:nmbe.ch:spidersp:037604	text	Hawaii
urn:lsid:nmbe.ch:spidersp:048309	text	Venezuela
urn:lsid:nmbe.ch:spidersp:035639	text	China
urn:lsid:nmbe.ch:spidersp:040739	text	India
urn:lsid:nmbe.ch:spidersp:016159	text	Venezuela
urn:lsid:nmbe.ch:spidersp:042704	text	China
urn:lsid:nmbe.ch:spidersp:014164	text	Indonesia
urn:lsid:nmbe.ch:spidersp:043816	text	Brazil
urn:lsid:nmbe.ch:spidersp:023217	text	Eastern Australia
urn:lsid:nmbe.ch:spidersp:008147	text	Panama
urn:lsid:nmbe.ch:spidersp:004888	text	Japan
urn:lsid:nmbe.ch:spidersp:037311	text	Malaysia (Borneo)
urn:lsid:nmbe.ch:spidersp:000062	text	Thailand
urn:lsid:nmbe.ch:spidersp:023702	text	Romania, Turkey
urn:lsid:nmbe.ch:spidersp:008452	text	China
urn:lsid:nmbe.ch:spidersp:011389	text	Mexico
urn:lsid:nmbe.ch:spidersp:042211	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:022810	text	Switzerland, Italy, Ukraine?
urn:lsid:nmbe.ch:spidersp:047013	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:011673	text	USA (Alaska), Canada, Europe, Morocco, Caucasus, Russia (Europe to Far East), Iran, China, Japan
urn:lsid:nmbe.ch:spidersp:026500	text	India
urn:lsid:nmbe.ch:spidersp:010961	text	Malaysia (mainland), Indonesia (Sumatra)
urn:lsid:nmbe.ch:spidersp:000598	text	South Africa
urn:lsid:nmbe.ch:spidersp:053400	text	Peru
urn:lsid:nmbe.ch:spidersp:005260	text	New Zealand
urn:lsid:nmbe.ch:spidersp:032113	text	Mexico
urn:lsid:nmbe.ch:spidersp:019243	text	USA
urn:lsid:nmbe.ch:spidersp:036853	text	Kazakhstan, China
urn:lsid:nmbe.ch:spidersp:051597	text	Indonesia (Sulawesi)
urn:lsid:nmbe.ch:spidersp:000432	text	Botswana
urn:lsid:nmbe.ch:spidersp:030084	text	USA
urn:lsid:nmbe.ch:spidersp:037741	text	USA
urn:lsid:nmbe.ch:spidersp:014021	text	Cameroon
urn:lsid:nmbe.ch:spidersp:042641	text	India
urn:lsid:nmbe.ch:spidersp:045184	text	Thailand
urn:lsid:nmbe.ch:spidersp:008002	text	Europe, Russia (Europe to West Siberia)
urn:lsid:nmbe.ch:spidersp:023352	text	Russia (Sakhalin), China, Korea, Japan
urn:lsid:nmbe.ch:spidersp:024497	text	Japan (Ryukyu Is.)
urn:lsid:nmbe.ch:spidersp:043953	text	China
urn:lsid:nmbe.ch:spidersp:026150	text	Indonesia (Sunda Is.)
urn:lsid:nmbe.ch:spidersp:021695	text	New Zealand
urn:lsid:nmbe.ch:spidersp:020987	text	USA
urn:lsid:nmbe.ch:spidersp:011223	text	Spain
urn:lsid:nmbe.ch:spidersp:047443	text	Costa Rica
urn:lsid:nmbe.ch:spidersp:040386	text	Thailand
urn:lsid:nmbe.ch:spidersp:004922	text	Venezuela
urn:lsid:nmbe.ch:spidersp:035286	text	Greece (Corfu), Lebanon
urn:lsid:nmbe.ch:spidersp:018901	text	Panama
urn:lsid:nmbe.ch:spidersp:005630	text	Ivory Coast
urn:lsid:nmbe.ch:spidersp:053050	text	Russia (South Siberia)
urn:lsid:nmbe.ch:spidersp:036500	text	New Guinea
urn:lsid:nmbe.ch:spidersp:000961	text	New Zealand
urn:lsid:nmbe.ch:spidersp:001673	text	Lesser Antilles (St. Lucia, Dominica, Martinique)
urn:lsid:nmbe.ch:spidersp:009243	text	Samoa, Hawaii
urn:lsid:nmbe.ch:spidersp:022113	text	USA
urn:lsid:nmbe.ch:spidersp:010598	text	USA
urn:lsid:nmbe.ch:spidersp:015260	text	Europe, Turkey, Caucasus to Central Asia (Russia)
urn:lsid:nmbe.ch:spidersp:043400	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:010062	text	Europe, Turkey, Caucasus
urn:lsid:nmbe.ch:spidersp:046602	text	West Africa
urn:lsid:nmbe.ch:spidersp:014888	text	Togo
urn:lsid:nmbe.ch:spidersp:047910	text	China
urn:lsid:nmbe.ch:spidersp:027311	text	Ukraine, Russia (Europe to Central Asia), Iran, Turkmenistan
urn:lsid:nmbe.ch:spidersp:001389	text	New Caledonia
urn:lsid:nmbe.ch:spidersp:004471	text	Algeria
urn:lsid:nmbe.ch:spidersp:052211	text	Britain
urn:lsid:nmbe.ch:spidersp:032810	text	New Guinea
urn:lsid:nmbe.ch:spidersp:018452	text	North Africa
urn:lsid:nmbe.ch:spidersp:033702	text	Russia (Far East), Korea, Japan
urn:lsid:nmbe.ch:spidersp:030987	text	Sri Lanka
urn:lsid:nmbe.ch:spidersp:001223	text	Italy (Sardinia)
urn:lsid:nmbe.ch:spidersp:050386	text	Brazil
urn:lsid:nmbe.ch:spidersp:036150	text	Cuba
urn:lsid:nmbe.ch:spidersp:031695	text	Panama
urn:lsid:nmbe.ch:spidersp:008901	text	Panama
urn:lsid:nmbe.ch:spidersp:044795	text	Algeria
urn:lsid:nmbe.ch:spidersp:043050	text	Brazil, Paraguay, Argentina
urn:lsid:nmbe.ch:spidersp:015630	text	Colombia
urn:lsid:nmbe.ch:spidersp:014922	text	Indonesia (Java)
urn:lsid:nmbe.ch:spidersp:022543	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:045887	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:009613	text	Ukraine, Russia (Caucasus)
urn:lsid:nmbe.ch:spidersp:020084	text	Brazil
urn:lsid:nmbe.ch:spidersp:027741	text	São Tomé and Príncipe
urn:lsid:nmbe.ch:spidersp:026853	text	USA
urn:lsid:nmbe.ch:spidersp:041597	text	India
urn:lsid:nmbe.ch:spidersp:046252	text	China
urn:lsid:nmbe.ch:spidersp:010432	text	Peru, Bolivia
urn:lsid:nmbe.ch:spidersp:033352	text	East Africa
urn:lsid:nmbe.ch:spidersp:018002	text	Namibia
urn:lsid:nmbe.ch:spidersp:034497	text	Brazil
urn:lsid:nmbe.ch:spidersp:052641	text	Australia (Western Australia)
